State,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,SubTotal
USA-AL,823765,861143,850439,835514,804046,774098,711199,876097,915657,933217,930987,941966,877629,857704,849465,990428,13833354
USA-AK,331209,330421,334286,339183,331420,326937,334430,317535,356533,353673,418115,389872,402842,411348,409960,401675,5789439
USA-AZ,236211,236530,213634,220120,224978,208272,197015,232755,221076,226196,220120,224216,198138,204137,213987,225886,3503271
USA-AR,377764,412848,412235,405144,421820,410689,365081,421531,440996,441382,431591,435855,444429,456906,447636,476543,6802450
USA-CA,1849780,1859203,1884895,1747060,1784583,1740127,1713404,1846322,1894789,1908391,1937656,1997588,1928700,1953103,2089449,2094271,30229321
USA-CO,440348,431776,415087,421180,421232,455480,414088,412273,405162,396319,387747,376686,371668,356356,378721,312254,6396377
USA-CT,78393,85921,88143,83352,86015,88602,87157,81049,107395,111351,118448,116461,122066,107708,114029,124719,1600809
USA-DC,6958,7260,7151,7014,6816,7275,7139,3645,4197,3821,4020,4516,4763,4514,4441,3906,87436
USA-DE,89074,87476,90725,92276,85081,50473,58909,90123,90639,92197,97921,95307,109899,113831,113066,112954,1469951
USA-FL,491793,466723,479455,473873,478130,501511,466630,518118,525469,551744,535556,530146,544761,531592,559778,559871,8215150
USA-GA,779445,781878,752752,726326,754966,758769,707159,777325,853354,881249,886636,919986,884294,931985,845079,911983,13153186
USA-HI,64236,64558,65419,65113,67545,68068,69087,65843,69038,71564,72369,68904,68832,70728,69465,77944,1098713
USA-ID,174169,178290,177849,180791,178557,181584,167397,189282,190130,186674,189493,191486,173676,167417,181630,205793,2914218
USA-IL,1174958,1230456,1218054,1210146,1212331,1209919,1098458,1223259,1218749,1203382,1239192,1253519,1202139,1176302,1190442,1250011,19311317
USA-IN,1308315,1329615,1321379,1294839,1306008,1289953,1188829,1324342,1361509,1332223,1352389,1391281,1346427,1323190,1270441,1340873,21081613
USA-IA,769536,769088,755501,716038,741530,744629,696284,671810,622407,571212,552069,530765,476168,488757,483224,511871,10100889
USA-KS,384005,378200,370686,375046,368196,370850,351945,380593,429736,385354,361515,407531,408336,391786,382177,399960,6145916
USA-KY,641746,664891,716399,823208,818985,843351,823705,885062,882116,899362,878069,875830,841653,877543,787157,748869,13007946
USA-LA,2744297,2770604,2724395,2799399,2843186,2832919,2738365,2937526,2945527,2779273,2598298,2737592,2529739,2642970,2559118,2920857,44104065
USA-ME,121923,133167,144030,146809,148899,147980,136647,179470,157167,146281,148753,152761,137634,174528,179885,202074,2458008
USA-MD,113262,114943,110853,126566,138883,144505,149782,173044,181135,183075,387946,388431,445783,383611,261263,257315,3560397
USA-MA,163503,165681,250494,249673,249307,248319,235768,165154,180817,188766,190079,188587,191359,246031,244358,241454,3399350
USA-MI,717392,751963,738577,710521,711614,688886,610075,733856,776944,826012,871859,872191,912084,844357,874319,959870,12600520
USA-MN,613589,672048,645479,646506,655032,653769,567541,633266,606103,584984,581408,584583,563178,538671,528344,631562,9706063
USA-MS,392817,399721,400501,417467,410248,412619,375107,410284,445625,439975,422722,444492,416761,412278,407846,465604,6674067
USA-MO,359310,364761,355291,356072,351055,366833,344659,398852,432211,442243,431867,406700,380177,388955,392723,373101,6144810
USA-MT,126913,126940,127150,126589,121153,128301,146908,175194,187098,164409,151302,145860,131699,135288,117451,170683,2282938
