version https://git-lfs.github.com/spec/v1
oid sha256:137e26f37be1dd30b8ceb49375e4522e68e32547bd4a42a4ee3e19c437f0e5b1
size 6085
=======
State,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
USA-AL,349230,378853,358238,338290,377607,419277,372781,388024,394481,386066,384310,372753,367777,379696,360336,380174
USA-AK,53136,47823,48810,54597,53939,52253,53536,53668,53742,59556,53524,55874,52810,52028,54045,50780
USA-AZ,385477,377963,389450,378865,391384,376625,373842,385383,394012,383046,367317,356054,345614,333695,340074,332073
USA-AR,228573,246790,241000,222034,247420,253858,226791,236545,232476,224542,232994,214193,217225,224615,220830,224902
USA-CA,1347807,1355062,1440463,1437024,1500559,1466657,1483981,1511586,1474374,1488574,1449101,1489320,1455716,1425659,1417985,1426721
USA-CO,347377,353334,363327,335025,354262,352304,339585,347873,343360,327996,329965,313885,324134,323517,307532,298492
USA-CT,251763,248119,245613,232769,238420,251419,253184,255114,265629,256700,286930,298534,298395,261825,263260,271535
USA-DC,42435,38467,36759,34614,35957,38997,36454,36386,37685,34354,39772,39792,39369,38847,35557,38210
USA-DE,65665,66613,64890,62032,67909,72461,68693,68574,67885,63315,70499,67820,69380,67959,61557,63432
USA-FL,1207549,1177125,1147013,1128534,1191486,1271713,1223002,1216701,1254926,1265230,1263599,1249670,1257345,1235554,1165291,1162604
USA-GA,697029,741983,686812,671729,747018,819871,726627,737925,735842,711957,713846,716909,680502,659384,623747,657077
USA-HI,31575,31411,30848,31530,32506,32681,33307,33424,34100,33679,33336,32638,31775,34519,32163,32984
USA-ID,122911,119891,127028,116608,125277,120873,127606,135832,129055,125190,120124,110784,104067,107122,104397,109711
USA-IL,924266,1031197,1010009,914300,979617,996827,975665,1028137,1002463,948520,1012609,974561,998082,1006475,949529,972112
USA-IN,535028,582543,568875,520078,557600,582485,559092,591028,578370,516999,560655,530675,549291,535447,504156,516771
USA-IA,226772,253915,253076,224008,246130,248952,246364,255649,243620,230391,239931,234667,240131,239857,231524,238880
USA-KS,221062,240294,235849,220969,245306,248133,239277,243850,235114,229154,239586,229939,236655,237425,227283,238873
USA-KY,360090,393758,384758,361536,383276,412687,383700,393573,394040,371784,391703,370812,372302,381010,346174,359095
USA-LA,333489,348374,343054,338452,370693,385695,352891,346724,346312,269469,307254,291611,288008,311947,293084,318552
USA-ME,107361,91333,85261,81138,87784,88685,90440,88142,97232,91984,103861,105068,98582,78944,85487,83642
USA-MD,424674,439759,428305,399741,418905,451072,425624,424491,435429,413143,454757,450699,438988,415779,392160,409417
USA-MA,435996,438255,422121,404710,424840,436772,424479,431545,424374,409880,449897,455081,475304,465244,457300,460234
USA-MI,741964,788442,772246,701252,763365,751519,755420,807710,813578,791638,880855,836392,874699,862332,814384,807942
USA-MN,379916,431646,416410,372940,398746,400267,407148,420462,413803,391244,408447,409467,427125,398291,369699,368448
USA-MS,196603,217710,210980,194273,229193,240392,221214,228469,232324,230259,231813,231589,239621,239554,220722,247379
USA-MO,497757,559922,536912,491678,540462,564089,528348,549275,535671,517972,542104,503537,510325,515921,511027,501265
USA-MT,89193,87262,85097,80476,87059,84479,88272,90790,85383,83423,82375,76604,75647,72819,69898,71399
USA-NE,148592,163525,163557,147037,160922,163715,158712,165222,159682,153450,157078,151440,156093,159342,158216,152452
