State,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,SubTotal
USA-AL,263457,262497,256750,244919,257067,270504,257060,271267,276430,268294,260757,257993,249280,250226,243613,250773,4140887
USA-AK,66983,63219,62922,69598,70816,66822,61825,64441,63076,67572,62403,63451,58567,60184,66274,69873,1038026
USA-AZ,347477,342287,349984,343783,347514,333894,332909,342185,341414,333127,322978,313878,310692,311230,312480,314579,5300411
USA-AR,179155,182202,176523,170147,174604,174500,164583,166933,162806,158434,163193,153539,153730,151491,150150,146310,2628300
USA-CA,1462756,1432703,1430427,1488960,1538314,1510438,1514229,1572133,1536055,1521164,1484593,1535683,1422511,1453641,1443700,1354275,23701582
USA-CO,290564,284107,286702,277734,287990,287485,297449,302273,293354,294859,294962,292485,298307,307369,297225,291783,4684648
USA-CT,199411,192330,188086,183405,184351,190625,187058,195646,211813,195013,207783,207537,225273,209010,214170,220325,3211836
USA-DE,57364,57866,56940,56847,59093,63083,62977,61607,60347,57891,58749,57214,57000,58139,51981,58864,935962
USA-FL,1013873,975609,968255,957462,969582,990021,1007221,1034041,1040386,1033460,1030708,1021070,994939,995300,951670,949471,15933068
USA-GA,551841,549710,531508,537457,564498,581280,551528,565938,564130,545052,544485,535357,504154,484042,491608,492204,8594792
USA-HI,41330,41137,40590,39187,41157,40111,40682,40866,40243,40680,39903,41261,37508,39356,36573,37282,637866
USA-ID,88995,86953,88008,83213,85263,82887,84725,88180,86738,83480,81565,79109,77073,100877,95987,104645,1397698
USA-IL,793951,820930,804281,764697,788925,782120,801393,819296,799556,781663,779189,760412,791982,829762,826929,839218,12784304
USA-IN,375685,390447,384892,360837,376554,383707,383796,400046,377537,353824,367094,368962,369574,349170,392245,351134,5985504
USA-IA,201781,213526,215578,199224,207447,205816,207300,208446,199565,194015,185585,185431,194926,190061,183157,174511,3166369
USA-KS,218880,214598,210269,208117,216339,215942,211803,218785,213137,208437,207732,210599,209349,209746,203177,207289,3384199
USA-KY,265076,264088,284407,252137,253109,263973,257778,271067,274054,265352,272578,267063,261498,267887,251234,253450,4224751
USA-LA,270292,268267,269079,277144,280565,281870,276975,270098,284976,206674,232402,225990,220011,228120,218164,236971,4047598
USA-ME,67780,63256,58954,61109,63417,63308,63927,71271,70819,58709,64461,64047,63434,55324,53612,57790,1001218
USA-MD,428556,426006,424653,419467,428190,431276,422597,427712,431954,422570,296872,291768,288704,338900,393156,390490,6262871
USA-MA,404149,397975,303367,271658,278165,288717,272436,360264,367187,356049,378740,380967,385076,373896,368644,381402,5568692
USA-MI,600388,624556,601182,580730,610380,593565,601694,633298,642946,630761,659416,650648,619704,630008,612731,641254,9933261
USA-MN,350685,369255,357858,330208,341435,340230,347172,357340,349441,344310,349345,340532,359635,337080,321325,236319,5432170
USA-MS,157667,162109,160217,149472,164068,164978,159303,166310,174559,164695,164312,169664,173700,167994,155875,173554,2628477
USA-MO,414623,428847,411232,397734,413610,419978,412327,426449,416269,412668,417541,406966,399766,402708,405223,401785,6587726
USA-MT,76458,78267,76910,75104,78153,75427,79731,72933,70611,72971,70528,68664,69624,65749,63040,62718,1156888
USA-NE,137058,141582,140405,131885,135792,141106,138869,145822,140627,136717,134151,133495,131942,136943,134305,136588,2197287
USA-NV,124431,120758,121677,118128,119870,117553,115460,122539,124368,126244,120281,119144,116777,114184,109386,110213,1901013
USA-NH,72019,71056,69952,66272,66407,66146,67673,68326,69762,68970,76208,73636,72415,68997,66199,65847,1109885
USA-NJ,596251,631418,607669,607156,635590,632896,633627,639790,652547,621617,654297,638074,610226,581672,557204,581258,9881292
