States,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AL,2.250348,2.163482,1.992439,2.101461,2.154941,1.844443,2.215464,1.981282,1.998994,1.889612,2.110849,2.045463,1.777187,1.829904,1.929205,2.163699
AK,2.663767,2.458371,2.041855,1.921636,2.181861,2.093309,2.386856,2.167383,2.338785,2.178956,2.558769,2.753532,2.638679,2.403492,2.339306,2.567288
AZ,2.191164,2.084873,2.164202,2.046614,2.020472,2.004572,2.034221,2.118878,2.406612,2.196447,2.353152,2.378065,2.310928,2.35316,2.22401,2.897524
AR,2.106462,2.13735,2.132506,2.178835,2.020799,2.121101,1.875833,1.862034,2.172215,2.483811,2.55258,2.512323,2.478523,2.818057,3.078274,3.110496
CA,14.366772,14.84536,14.231895,14.003348,14.118474,14.22776,14.448096,15.077789,15.615547,15.582681,16.073186,15.695952,15.911109,15.943114,15.07547,18.615929
CO,3.796271,4.414418,4.346865,4.198701,4.068162,4.091438,3.789095,3.785766,4.569472,4.703112,4.240058,3.972886,3.34727,3.697785,3.740117,4.053778
CT,4.511049,4.281812,4.098261,4.926948,3.906722,3.724782,3.303065,3.335311,3.354955,3.270019,3.342832,3.575423,3.230886,3.554214,3.798489,4.337705
DE,0.631461,0.685537,0.74534,0.799474,0.790365,0.731721,0.728144,0.685454,0.641708,0.836419,0.828051,0.716225,0.693878,0.764081,0.841433,0.94417
FL,4.795284,4.889205,5.00384,4.944626,5.843001,5.65567,5.169727,4.677422,4.786957,4.796042,5.263516,4.70254,4.665677,5.122501,5.261077,6.815356
GA,4.140864,3.76739,3.362511,3.419756,3.785006,3.607969,3.205842,3.244101,3.410386,3.536471,4.00844,3.767406,3.637938,3.966964,4.106187,4.652995
HI,0.276166,0.238709,0.310936,0.279577,0.32807,0.330632,0.333324,0.278096,0.29191,0.345165,0.340506,0.3782,0.350838,0.354325,0.393478,0.44952
ID,1.073061,1.033828,0.983902,0.867845,0.977168,0.995737,0.994458,1.060368,1.117182,1.043685,1.067616,1.170233,1.127203,1.24976,1.172389,1.264146
IL,12.384884,11.763007,12.405191,12.887975,12.211047,11.843038,11.594033,11.839393,13.234655,13.226659,11.606455,12.516501,10.999241,13.579436,14.423718,13.564366
IN,6.262567,5.645982,5.88021,6.754704,6.406846,5.455503,4.716185,5.079112,6.168861,5.814272,5.469879,5.369686,4.614618,5.380596,5.917245,5.401781
IA,3.547889,3.527269,3.643811,3.774318,3.472521,3.478107,3.83222,3.936174,4.407449,4.680178,4.45611,4.504519,4.08884,4.839832,4.894846,4.573985
KS,2.534934,2.438808,2.439393,2.416025,2.325642,1.800706,1.694942,1.854214,2.10241,2.01181,1.965177,1.949737,1.622254,2.012951,2.235125,2.52769
KY,3.172064,2.984909,3.053145,2.965618,3.059058,3.044469,2.458857,2.502853,2.551888,2.349312,2.360117,2.304051,2.047464,2.392201,2.549718,2.591233
LA,2.572438,1.977955,1.937769,2.414198,2.150742,2.050188,1.45995,2.655181,1.582219,1.993051,1.946709,1.892484,1.855188,1.805818,1.994712,2.205023
ME,1.881304,1.583397,1.806251,2.302411,2.166186,2.091563,1.801136,2.165247,2.180861,1.815149,1.705061,1.839286,1.569534,1.609534,1.699834,1.774019
MD,4.677811,4.832601,4.850866,5.315518,5.164016,4.988999,4.555979,4.65606,4.66684,4.753312,4.565288,4.565643,4.378484,4.711303,5.068399,5.352304
MA,6.772772,5.741563,5.864533,7.101506,6.559296,6.70423,5.015687,5.346052,5.601832,5.788632,6.695373,6.313984,5.226499,6.751983,7.139043,7.58412
MI,11.306346,10.679187,10.948242,11.241509,10.824663,10.575758,9.160529,9.964439,10.552029,10.263662,9.35752,9.936635,8.726048,10.271576,12.09233,10.800496
MN,5.823326,5.833805,6.366655,6.430404,5.924038,6.044496,5.891915,5.864138,6.51677,6.296284,5.711731,6.019678,5.304921,6.704007,7.103468,6.366964
MS,1.601403,1.635927,1.49289,1.659784,1.470157,1.408373,1.292718,1.75183,1.516216,1.460921,1.537606,1.510469,1.355022,1.4382,1.653928,1.631961
MO,4.636675,5.194704,4.620975,4.525902,4.554635,4.245362,3.977247,4.016184,4.553242,4.144963,4.070897,4.010679,3.616298,4.246776,4.76344,4.523871
MT,0.852281,0.859507,0.914122,1.030338,1.1066,1.12895,1.106435,0.871012,1.005217,1.413949,1.234851,1.357331,1.194738,1.276518,1.310703,1.24162
NE,1.764965,1.732975,1.645395,1.721853,1.816851,1.621567,1.676917,1.787356,2.082015,1.865309,1.858949,1.866502,1.578173,1.982153,1.99984,1.964735
NV,1.625305,1.439369,1.468984,1.477365,1.658656,1.760486,1.834256,1.75201,1.791774,1.78295,1.823209,1.870781,1.757374,1.929286,1.787088,2.207237
NH,1.522425,1.383497,1.383076,1.723297,1.884276,2.007358,1.381897,1.436269,1.426621,1.372374,1.228621,1.350342,1.236472,1.274153,1.411655,1.477701
NJ,11.032031,9.558321,9.551539,10.646131,10.899191,11.271975,9.544838,10.980809,10.655111,11.118724,10.909208,11.675558,10.450393,10.539425,12.279328,10.732726
NM,1.632243,1.764229,1.736837,1.773029,1.707662,1.693254,1.545092,1.545278,1.734816,1.54999,1.560197,1.543829,1.547474,1.652698,1.631251,1.71336
NY,32.213478,30.751196,31.345331,33.159496,34.880557,28.705962,25.470719,26.764029,25.898405,25.167828,24.273408,24.288333,20.980596,22.432959,22.042259,22.847905
NC,4.564674,4.511845,4.02211,4.855987,5.273094,5.017268,4.582911,4.15257,4.961665,5.224409,5.061818,4.308616,4.107814,4.248672,4.815822,5.329855
ND,0.956695,0.97694,1.010186,0.99841,1.063838,1.120587,0.831947,1.098057,1.005986,0.962769,0.976896,1.323762,1.208265,1.574073,1.56834,1.133097
OH,11.550067,11.142433,11.095029,11.489701,11.560615,10.960916,9.386815,10.29888,11.055604,10.842027,10.523991,10.56375,9.584035,10.834544,11.736936,11.824315
OK,2.552922,2.624441,2.518372,2.26737,2.285911,2.402127,2.213075,2.599705,2.649743,2.716569,2.729014,2.580599,2.400057,2.835975,3.034725,3.12325
OR,2.097785,2.165285,2.083158,1.762383,1.747343,1.861178,1.852277,1.880225,2.029501,2.044973,1.879928,1.980347,1.797718,1.840254,1.78643,1.996857
PA,12.839054,12.607858,12.605123,13.319995,12.88076,12.835263,11.668475,12.358292,11.64084,10.79518,10.521241,10.292211,9.035397,10.463057,11.202204,11.512906
RI,1.237351,1.263443,1.165909,1.298909,1.215216,1.146008,0.952279,1.047815,0.939642,1.042493,0.914932,0.860292,0.785034,0.906216,1.123908,0.99687
SC,1.8002,1.694733,1.648568,1.681509,1.696458,1.715982,1.822112,1.633021,1.744415,1.571577,1.756334,1.598185,1.562162,1.665996,1.803554,2.123154
SD,0.737787,0.713562,0.705826,0.706951,0.670445,0.662474,0.629443,0.725965,0.787486,0.811741,0.778435,0.75139,0.637741,0.791425,0.82019,0.73006
TN,3.892668,3.806998,3.729096,4.049533,3.766844,3.534333,3.393195,3.503796,3.660099,3.675323,3.889017,3.591279,3.113092,3.479342,3.766134,3.854577
TX,13.653824,11.819837,14.308738,14.205383,11.886231,10.619814,9.700959,10.135892,10.782947,11.095035,12.114522,12.587981,11.13166,11.502484,12.138127,13.288681
UT,2.099159,2.274198,2.588397,2.178427,2.451208,2.311445,2.248696,2.267689,2.41769,2.364119,2.41894,2.591962,2.315488,2.689069,2.502973,2.404507
VT,0.763053,0.788823,0.730773,0.774087,0.82653,0.715605,0.674008,0.676905,0.615226,0.663832,0.619609,0.633152,0.59832,0.753449,0.786389,0.988241
VA,2.250348,2.163482,1.992439,2.101461,2.154941,1.844443,2.215464,1.981282,1.998994,1.889612,2.110849,2.045463,1.777187,1.829904,1.929205,2.163699
WA,2.663767,2.458371,2.041855,1.921636,2.181861,2.093309,2.386856,2.167383,2.338785,2.178956,2.558769,2.753532,2.638679,2.403492,2.339306,2.567288
WV,2.191164,2.084873,2.164202,2.046614,2.020472,2.004572,2.034221,2.118878,2.406612,2.196447,2.353152,2.378065,2.310928,2.35316,2.22401,2.897524
WI,2.250348,2.163482,1.992439,2.101461,2.154941,1.844443,2.215464,1.981282,1.998994,1.889612,2.110849,2.045463,1.777187,1.829904,1.929205,2.163699
WY,2.663767,2.458371,2.041855,1.921636,2.181861,2.093309,2.386856,2.167383,2.338785,2.178956,2.558769,2.753532,2.638679,2.403492,2.339306,2.567288
