States,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AL,25.309891,21.915194,21.63864,22.865658,23.073684,21.765224,21.266073,20.748116,20.412903,16.760024,18.156994,18.560822,20.72444,20.402367,21.550667,20.446711
AK,21.072046,21.235824,21.650697,21.390271,20.530642,22.073271,18.770963,18.925227,16.777934,17.189951,16.563595,16.758601,17.186814,17.105082,16.788925,16.750091
AZ,4.252297,4.381861,3.774588,3.556457,3.931883,4.39508,4.499438,4.374309,4.950794,3.726817,4.155729,4.496996,4.426335,4.0277,4.002879,3.9197
AR,10.983514,10.985524,10.368701,10.402663,10.005143,9.656354,9.767184,9.611982,10.229927,7.724395,8.672266,8.579246,8.222169,8.797851,8.736844,7.961913
CA,65.096401,67.317006,67.995338,68.561117,71.613267,68.653359,68.042518,66.445847,65.000896,61.017294,63.599233,63.399532,63.425701,67.227875,67.192638,67.391719
CO,8.894194,12.427082,11.709776,11.40104,11.892432,12.851022,12.951949,12.976675,13.429221,13.011124,14.004479,12.55919,12.804666,12.77823,13.696855,14.038453
CT,2.582926,2.373072,2.222115,2.704866,2.436847,2.618117,2.571957,2.256922,1.716019,1.855298,1.765849,1.86317,1.770426,1.982724,1.910707,1.737374
DE,3.643422,3.642521,3.150996,2.850963,2.938396,3.178531,3.02908,2.901722,2.734716,1.457274,0.777301,2.616184,3.054048,3.145742,2.998549,3.147401
FL,13.83898,13.171936,11.50669,12.38354,11.026311,11.400971,11.642707,10.50526,10.41206,9.122007,10.445896,9.000586,9.369667,9.739753,9.686863,10.542052
GA,18.013652,17.501849,17.217536,17.943026,17.842204,18.013557,17.096582,15.819886,14.629585,12.697675,13.60648,13.068711,12.570914,13.214709,13.88613,12.672351
HI,1.327944,1.334162,1.385544,1.449727,1.396294,1.67995,1.760035,1.600811,1.503716,1.49922,1.45381,1.462321,1.41407,1.33316,1.299334,1.327536
ID,4.154096,3.926497,3.694007,3.366733,3.729507,3.912036,3.400378,3.440097,3.264694,3.189216,3.350029,3.461541,3.227076,3.405628,3.491185,3.263411
IL,39.611588,36.311906,35.669874,34.916094,34.856061,35.302041,34.953491,35.566889,34.708223,29.126894,34.707095,35.956534,36.14126,36.979595,37.611709,33.964915
IN,51.599482,52.250012,51.649957,52.379195,53.121517,50.015188,49.328641,49.030962,45.917578,39.402709,45.127512,43.945527,42.282644,43.883025,42.514281,41.162874
IA,15.30971,14.959397,14.82703,13.744601,15.008233,15.196669,15.793113,16.964547,18.651195,18.158613,19.599488,19.755065,18.78985,20.056503,19.788222,19.834427
KS,13.624381,12.163072,13.238791,13.618055,12.491057,10.78854,12.433813,15.724346,12.322673,11.045328,11.269199,11.310452,11.563434,11.451365,11.500265,12.033087
KY,15.501695,16.481055,16.200592,15.42206,16.293081,16.551896,17.334827,17.062662,16.668453,14.165165,15.964393,16.2788,14.440947,13.704998,13.415762,13.477774
LA,131.941467,116.357935,121.69337,120.487401,132.24202,124.944384,136.958036,143.765248,148.000059,133.59288,139.374368,138.518849,133.841961,128.084631,127.472325,126.621734
ME,4.359834,3.544774,3.9619,2.357191,3.344874,3.132634,3.313155,3.356076,3.151673,2.80274,2.69581,2.572457,2.342709,2.304338,1.852279,1.59814
MD,5.711831,6.490226,6.193309,5.901566,6.127821,6.198421,5.881194,5.340399,5.193314,4.306433,4.126893,4.017978,3.568191,2.955019,2.696292,2.49473
MA,5.404251,6.608212,6.384813,4.004261,3.714201,4.050974,4.058354,3.999125,3.572809,2.798681,3.226522,3.469105,3.008649,3.183097,3.169937,3.182148
MI,26.971192,25.316757,23.510529,22.539295,23.014808,23.640002,22.149812,19.61879,19.204994,14.371322,16.75365,17.073989,16.952485,18.894138,18.793672,18.797306
MN,14.185325,12.84918,13.169359,13.11244,13.625428,13.873955,13.879733,14.876314,16.359805,14.641439,16.676244,16.709557,16.595646,17.338495,18.036787,16.057211
MS,10.465138,10.46427,10.513185,10.519204,10.97068,10.161715,10.46739,10.495815,10.16164,9.343284,10.630596,10.017828,10.455297,10.532898,10.474629,10.407954
MO,8.196706,8.427548,9.116627,8.852092,9.675279,9.489561,9.164857,9.502819,8.160305,7.036168,7.143402,6.278786,7.090663,7.41573,7.915648,7.850617
MT,3.329463,3.619869,3.505384,3.799249,4.129901,4.494804,4.941747,5.210927,4.884125,4.134786,3.411108,3.563587,3.967921,4.001193,3.96178,3.818641
NE,5.652045,5.868983,5.813437,5.699991,5.883588,5.785163,6.536375,7.303468,7.482432,7.16947,7.719614,8.312169,8.900366,9.016613,8.95984,8.966756
NV,2.284673,2.298494,1.975079,1.785246,2.208455,2.487249,2.665201,2.643273,2.571831,2.463282,2.541621,1.629208,1.962688,2.233659,3.085081,1.977282
NH,1.176265,1.189466,1.043217,1.022112,1.001783,0.880947,1.075346,0.827211,0.768116,0.690913,0.667542,0.664549,0.606243,0.720683,0.77183,0.710634
NJ,9.84592,11.401962,10.72158,10.817581,10.842797,10.846942,10.111445,9.744249,7.923986,6.573203,7.659012,7.956474,8.543661,8.732763,8.628143,8.567573
NM,7.325181,7.436316,6.720607,7.270551,7.684227,7.377448,7.116429,8.346152,7.545869,6.779122,6.800131,7.021555,7.122292,6.905994,7.389834,7.202573
NY,15.191891,13.084081,11.651461,11.233077,10.366934,10.995031,10.591444,10.273374,9.689096,7.777474,8.258815,8.452907,8.083632,8.193782,8.110062,8.278168
NC,15.775494,14.64095,13.918668,13.296525,13.420827,13.678751,12.964437,12.179414,11.250091,9.723572,10.667697,10.291749,9.875349,10.181801,9.990422,9.763219
ND,11.963232,12.644131,11.923851,11.860836,11.363191,12.023011,12.470207,12.396124,12.865857,12.305807,13.844834,14.902899,15.488753,15.852647,17.018492,16.138223
OH,35.988259,35.063561,33.341446,34.82314,33.546822,34.363167,35.239225,34.469852,33.370445,27.800191,32.846631,32.048444,34.037179,35.593506,37.905523,36.29526
OK,17.913476,17.023482,16.735185,18.397289,19.071062,19.698602,21.850733,20.32264,21.416111,18.556878,19.457523,19.990433,20.742586,20.896264,22.040094,21.527959
OR,5.925502,5.421203,5.722704,5.023531,5.3746,4.997116,5.438176,5.129339,5.207597,4.480752,4.34334,4.787945,4.710182,4.559915,4.721159,4.687025
PA,46.219148,45.191593,44.609035,45.525289,44.970942,43.575014,44.067754,43.071899,42.524521,32.468758,38.664338,39.716685,40.321881,47.827535,51.904767,49.418166
RI,0.643032,0.510865,0.47661,0.518751,0.546394,0.570736,0.583812,0.568663,0.494425,0.626167,0.555471,0.512979,0.501815,0.518462,0.532033,0.561277
SC,12.150242,11.86345,12.183522,12.160151,11.708427,11.078605,10.186403,9.323454,8.472963,7.1095,7.345497,7.37168,6.647647,6.969466,7.304046,7.208122
SD,2.525435,2.000378,2.267962,2.291035,2.198334,2.198712,2.148465,2.769928,3.081687,3.198167,3.317365,3.575569,3.485048,3.861695,3.745547,3.782057
TN,17.406049,18.142747,17.415235,17.386543,16.5028,16.508672,16.646233,16.655074,15.963416,13.837102,14.798751,15.173314,14.968118,15.82383,15.887588,15.62845
TX,277.003293,269.481015,266.583228,267.596089,272.995938,239.12801,236.608572,223.971543,197.349086,183.698264,210.241401,211.55627,225.701611,236.756211,229.197204,235.539056
UT,10.088965,8.940096,5.788387,6.002067,7.082487,8.249037,7.299053,7.50612,7.171058,6.089206,6.359635,6.498993,7.127185,7.634465,7.442943,7.257431
VT,0.555573,0.482099,0.459876,0.490765,0.568954,0.576249,0.580041,0.494575,0.488682,0.460189,0.48325,0.526739,0.468448,0.378838,0.416745,0.384942
VA,25.309891,21.915194,21.63864,22.865658,23.073684,21.765224,21.266073,20.748116,20.412903,16.760024,18.156994,18.560822,20.72444,20.402367,21.550667,20.446711
WA,21.072046,21.235824,21.650697,21.390271,20.530642,22.073271,18.770963,18.925227,16.777934,17.189951,16.563595,16.758601,17.186814,17.105082,16.788925,16.750091
WV,4.252297,4.381861,3.774588,3.556457,3.931883,4.39508,4.499438,4.374309,4.950794,3.726817,4.155729,4.496996,4.426335,4.0277,4.002879,3.9197
WI,25.309891,21.915194,21.63864,22.865658,23.073684,21.765224,21.266073,20.748116,20.412903,16.760024,18.156994,18.560822,20.72444,20.402367,21.550667,20.446711
WY,21.072046,21.235824,21.650697,21.390271,20.530642,22.073271,18.770963,18.925227,16.777934,17.189951,16.563595,16.758601,17.186814,17.105082,16.788925,16.750091
