States,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AL,3.668102,3.541014,3.250241,3.089335,2.983225,2.721287,2.506686,2.37507,2.529573,2.496246,2.85928,2.344454,1.755573,2.188109,2.428255,2.129964
AK,1.729165,1.796026,1.614116,1.652948,1.790486,1.760192,2.140628,1.837734,1.775532,1.748371,1.67576,1.717991,1.753785,1.551159,1.454912,1.579612
AZ,2.130566,2.190491,2.166258,2.132916,2.24162,2.129516,2.151075,2.273927,2.416741,2.181863,2.324541,2.402588,2.088107,2.40749,2.027571,2.130436
AR,2.915575,2.657313,2.622328,2.488219,2.252775,2.155681,2.072178,2.095991,2.342931,2.211453,2.318374,2.133919,1.641832,2.209758,2.355935,2.039908
CA,27.556368,28.656476,28.675074,28.35383,29.435211,28.212989,28.407659,28.623544,28.775868,28.308627,28.916145,29.661651,27.322672,27.701077,22.912994,23.428018
CO,6.891501,7.317984,7.598212,7.657142,7.281882,7.621822,7.181959,7.875108,8.083482,7.722741,7.854395,7.863602,7.066089,8.224272,8.080468,7.54171
CT,8.60829,8.341462,8.079271,9.622951,10.101548,9.212632,7.95319,8.205822,8.036714,8.04868,7.517363,7.165649,6.604845,7.190324,7.473959,7.667826
DE,1.210945,1.166879,1.17573,1.301599,1.21569,1.191424,0.989113,1.008289,0.973066,1.031095,1.048071,0.94919,0.784984,0.932248,1.042202,1.040233
FL,1.51457,1.425698,1.379751,1.407868,1.543502,1.492089,1.420972,1.314056,1.326894,1.429348,1.609956,1.337336,1.105479,1.141324,1.254619,1.167035
GA,8.718965,7.389082,7.651883,7.908541,7.771901,7.574943,6.673766,6.756714,7.195282,7.138205,8.324957,6.730784,5.975835,7.054144,7.856046,6.946434
HI,0.076128,0.076675,0.077589,0.064904,0.0649,0.064831,0.067391,0.059299,0.092502,0.08659,0.085122,0.079722,0.104206,0.082934,0.081999,0.061269
ID,1.516702,1.439563,1.424271,1.308573,1.56077,1.551396,1.622486,1.596977,1.823015,1.713691,1.609398,1.763128,1.547462,1.844988,1.60143,1.532922
IL,26.910738,24.335397,26.213723,26.813871,25.098008,24.762211,22.714351,24.705556,26.879504,25.271136,23.908738,23.855532,20.526915,26.010513,27.367409,23.134226
IN,10.638216,9.452561,10.196421,11.123545,9.668464,9.49843,8.052052,9.05979,9.740549,8.905198,8.660407,8.261938,7.047308,8.747755,9.442378,8.047301
IA,5.569289,4.910956,5.268225,5.378631,4.858937,4.845564,4.510976,4.842428,5.53418,5.162335,4.830776,4.802794,3.943966,5.095502,5.382548,4.493956
KS,4.44311,4.233986,4.374775,4.403174,4.065,4.036127,3.480235,3.915339,4.524053,4.468304,4.186034,4.057179,3.155037,4.156892,4.400595,3.712715
KY,4.649144,3.942994,4.048847,4.316516,3.972163,3.891641,3.25496,3.488831,3.726161,3.638725,3.698474,3.475628,2.784246,3.430957,3.714622,3.230824
LA,3.273403,3.098667,2.925502,2.777389,2.51184,2.483352,2.050644,2.171176,2.221883,2.2001,2.649161,2.294856,1.819403,2.206453,2.554059,2.115757
